,Dish,Meta,URL,Pic,Ingredients
35,SPICY CHICKEN KATSU,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/spicy-chicken-katsu,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5da5f4555996745bbf32ed52/1572281866947/Screen+Shot+2019-10-25+at+10.35.45+%281%29.png,"3 Eggs
8 Skinless, Boneless Chicken Thighs
2 Tbsp of Sweet Chilli Sauce
2 Tbsp of Soy Sauce
8 Tbsp of Flour 
600ml of Chicken Stock
400g of Basmati Rice 
4 Tsp Curry Powder
2 Tsp of Chilli Powder
Knob of Ginger
4 Cloves of Garlic
2 Onions 
3 Carrots
200g of Panko Breadcrumbs
Vegetable Oil"
36,VEGGIE CRUNCH WRAP,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/veggie-crunch-wrap,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5db2b88a8a62df0bc131266e/1572016107800/9K8A5941.jpg,"3 Cloves of Garlic
1 Can of Sweetcorn
1 Can of Old El Paso Refried Beans
1 Can of Kidney Beans
2 Red Peppers
2 Yellow Peppers
1 Courgette
4 Red Onions
1 Sachet of Old El Paso Smoky BBQ Seasoning
2 Bunches of Coriander
8 Regular Old El Paso Flour Tortillas
1 Bottle of Old El Paso Chunky Salsa
4 Avocados
3 Spring Onions
1 Lime
Salt
Pepper
Olive Oil"
37,ZERO WASTE VEGGIE CARBONARA,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/zero-waste-carbonara,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5db1888cc601750202263e71/1577482657426/9K8A7710.jpg,"500g of Linguine 
2 Cloves of Garlic
2 Courgettes
Small Bunch of Thyme
6 Eggs 
1 Lemon
100g of Vegetarian Parmesan
Salt
Pepper "
38,SWEET POTATO AND CHICKPEA CURRY,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/sweet-potato-chickpea-curry,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5daec773844a3027f48074d5/1571833656247/9K8A5193-2.jpg,"2 Onions
2 Cloves of Garlic
Large Knob of Ginger
400ml of Coconut Milk
400g of Tinned Tomatoes
400g of Whole Cherry Tomatoes
400g Chickpeas
3 Sweet Potatoes
1 Tsp Garam Masala
1 Tsp Chilli Flakes
1 Tsp Cumin
1 Tsp Turmeric
200g of Spinach Leaves
4 Tbsp of Coconut Yoghurt
Bunch of Coriander
Salt
Pepper"
39,MAX FOSH'S CHORIZO PESTO PASTA BAKE,PASTA MOB,http://www.mobkitchen.co.uk/recipes/pesto-pasta-bake,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5daebda445e76364d77c95c6/1571906416894/9K8A5024.jpg,"400g of Penne Pasta
1 Chorizo Ring
200g of Roasted Red Peppers (In Jar)
200g of Sun-Dried Tomatoes 
50g of Parmesan
50g of Pine Nuts
1 Ball of Mozzarella
1 Bunch of Basil
2 Cloves of Garlic
2 Tbsp of Chilli Flakes
Salt
Pepper
Olive Oil"
40,BACON MAC N' CHEESE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/bacon-mac-cheese,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5da997ade6c4514ed0373898/1571857770319/9K8A3775+%282%29.jpg,"275g Smoked Streaky Bacon
3 Spring Onions
Bunch of Rosemary
4 Tbsps of Flour
600ml of Whole Milk
200g Grated Cheddar
200g Grated Parmesan
1 Ball of Mozzarella
400g of Macaroni
50g of Breadcrumbs
Olive Oil
Salt
Pepper"
41,MEXICAN STYLE MEATLESS BURGER,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/mexican-meatless-burger,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5da88143d5a903190c7b2895/1571510516370/9K8A5526.jpg,"2 Packets of The Meatless Farm Burgers
4 Burger Buns
2 Tsp of Smoked Paprika
2 Tsp of Cumin
1 Tbsp of Hot Sauce
1 Avocado
2 Red Peppers
2 Yellow Peppers
2 Red Onions
1 Spring Onion
Bunch of Coriander
2 Limes
60ml of Water
Salt
Pepper
Olive Oil"
42,TERYIAKI SALMON,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/teryiaki-salmon,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5da6e9eb94bf12123c5f4387/1571510304349/Image+from+iOS.png,"70ml of Reduced Salt Soy Sauce
70g of Brown Sugar Packed
400g Rice
Small Knob of Minced Ginger
1 Clove of Garlic, Minced
2 Tbsp of Honey
4 Salmon Fillets
8 Tbsp of Mayonnaise
2 Tbsp of Sriracha
2 Tsps of Cornstarch
2 Chopped Spring Onions"
43,WAGAMAMA'S CRISPY SQUID,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/wagamamas-crispy-squid,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5da4797b2d11583e99b3d2f6/1571169564383/9K8A8012.jpg,na
44,LIAM CHARLES' CINNAMON ROLL UPS,GUEST MOB,http://www.mobkitchen.co.uk/recipes/cinnamon-roll-ups,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5da043c14487bb406dcb7c4d/1570802459498/9K8A4353.jpg,na
45,MOB'S ULTIMATE BACON SARNIE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/bacon-sarnie,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d9f3c34ee902a468db64929/1570792011397/9K8A4910-Edit+%281%29.jpg,"16 Rashers of Bacon
Knob of Butter
8 Slices of Sourdough Bread
Ketchup
Tabasco
HP Sauce"
46,MOB'S HALLOUMI FAJITAS,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/halloumi-wrap,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d9db3b09fcce3139145b4fc/1570655190712/9K8A5890.jpg,"2 Red Peppers
2 Yellow Peppers
2 Red Onions
Old El Paso Smoky BBQ Seasoning Mix for Fajitas - 1 Sachet
Bunch of Coriander
Bunch of Mint
2 Blocks of Halloumi
8 Plain Tortilla Wraps
Old El Paso Chunky Salsa
150ml Sour Cream
50g Grated Cheddar Cheese
Bag of Tortilla Crisps
Salt
Pepper
Olive Oil"
47,MOB'S PULLED CHICKEN BURGER,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/pulled-chicken-burger,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d9b11b3924534090073e75a/1570462881105/9K8A5239.jpg,"8 Boneless Chicken Thighs
1 Tbsp Chipotle Paste
125ml Passata
Barbecue Sauce
1 Onion
1 Lime
2 Avocados
Small Bunch of Coriander
1 Gem Lettuce
4 Brioche Buns
Salt
Pepper"
